4 300 0.048482
0.026066 0.804968 0.634349 0.124553 
0.653113 0.004129 0.137934 0.274041 
0.197712 0.068486 0.844056 0.131300 
0.599085 0.822400 0.348394 0.020095 
0.202928 0.390721 0.797395 0.220040 
0.354107 0.887674 0.813336 0.699619 
0.071998 0.217328 0.693335 0.848002 
0.898060 0.456357 0.324452 0.548470 
0.347785 0.756993 0.249624 0.601615 
0.688563 0.610145 0.991941 0.202799 
0.638133 0.854733 0.878967 0.119703 
0.336255 0.523787 0.765571 0.709314 
0.748249 0.659980 0.172376 0.164297 
0.302314 0.226253 0.669911 0.088736 
0.751440 0.337900 0.662888 0.208273 
0.352657 0.619984 0.908369 0.292277 
0.697058 0.169192 0.510182 0.191265 
0.121783 0.099484 0.231087 0.053062 
0.889928 0.937757 0.644894 0.493316 
0.250691 0.040534 0.546285 0.008005 
0.196052 0.570066 0.896913 0.853196 
0.861707 0.878680 0.037686 0.423052 
0.640262 0.410578 0.188678 0.456247 
0.363014 0.868735 0.412388 0.049087 
0.845477 0.465239 0.451473 0.193762 
0.782173 0.249275 0.351033 0.780756 
0.737928 0.882478 0.790856 0.687920 
0.706148 0.101544 0.743625 0.842725 
0.281969 0.106359 0.600799 0.286064 
0.962994 0.440457 0.715233 0.203644 
0.692227 0.428391 0.493755 0.834660 
0.366857 0.535511 0.280442 0.028038 
0.323946 0.056218 0.873892 0.531247 
0.475561 0.674660 0.699123 0.335556 
0.870595 0.976000 0.112197 0.703919 
0.034052 0.242587 0.310556 0.691275 
0.188284 0.509721 0.241026 0.845565 
0.080103 0.325402 0.185116 0.560357 
0.655780 0.399997 0.982019 0.317587 
0.992903 0.943326 0.915772 0.035406 
0.471547 0.861691 0.096411 0.768105 
0.336968 0.111142 0.335782 0.045417 
0.243425 0.245617 0.724813 0.517625 
0.885446 0.573775 0.888117 0.569553 
0.673041 0.748024 0.771805 0.138697 
0.900465 0.032383 0.692358 0.948695 
0.131569 0.750472 0.762111 0.537508 
0.000810 0.638711 0.443531 0.591558 
0.461828 0.918360 0.118489 0.078710 
0.112028 0.113464 0.785273 0.658329 
0.895232 0.701050 0.537322 0.432210 
0.879136 0.853049 0.148498 0.225188 
0.217405 0.920902 0.622070 0.678997 
0.707409 0.965014 0.570511 0.654240 
0.767208 0.008084 0.902002 0.325725 
0.466153 0.143914 0.303334 0.251126 
0.810928 0.515259 0.757300 0.367393 
0.515626 0.705082 0.195980 0.145412 
0.399734 0.653293 0.354861 0.535669 
0.968289 0.819104 0.087171 0.920555 
0.319079 0.906908 0.439390 0.817475 
0.827000 0.742781 0.808897 0.307807 
0.451439 0.599943 0.562210 0.141382 
0.592028 0.630450 0.255298 0.945133 
0.929985 0.474453 0.302172 0.904280 
0.036858 0.311376 0.306832 0.188594 
0.859613 0.845583 0.292066 0.606528 
0.645616 0.560970 0.664269 0.167629 
0.919043 0.354996 0.625132 0.435702 
0.547911 0.891450 0.274774 0.268245 
0.467344 0.512995 0.333087 0.240873 
0.314615 0.298133 0.289267 0.745393 
0.159673 0.488233 0.482626 0.152086 
0.190618 0.585923 0.212758 0.620422 
0.215140 0.419126 0.040419 0.941774 
0.676868 0.874907 0.134589 0.618238 
0.908391 0.124691 0.251677 0.583710 
0.851358 0.776639 0.817242 0.072452 
0.485969 0.954544 0.611293 0.652294 
0.227396 0.179732 0.029824 0.332736 
0.101673 0.382682 0.779028 0.726416 
0.785376 0.858918 0.653377 0.916864 
0.057438 0.369894 0.121431 0.762139 
0.673889 0.906635 0.392887 0.868032 
0.258223 0.662281 0.528235 0.633074 
0.426465 0.070143 0.805601 0.065575 
0.719581 0.076759 0.508806 0.803249 
0.079878 0.767641 0.906373 0.217027 
0.490677 0.771203 0.469395 0.711684 
0.817978 0.075997 0.140090 0.107179 
0.478077 0.228639 0.802358 0.507866 
0.632403 0.655026 0.208410 0.570910 
0.602011 0.095373 0.373211 0.995656 
0.247692 0.762326 0.947609 0.888887 
0.874908 0.305814 0.959167 0.314766 
0.983562 0.967810 0.380094 0.099640 
0.141160 0.978910 0.836152 0.556835 
0.777192 0.871553 0.364726 0.171643 
0.179178 0.497112 0.533376 0.783944 
0.386350 0.155602 0.126410 0.929640 
0.344376 0.527488 0.826406 0.084906 
0.721736 0.371143 0.066872 0.882563 
0.854008 0.728506 0.597640 0.155370 
0.727620 0.385932 0.329001 0.998510 
0.169283 0.263264 0.234034 0.426689 
0.560792 0.934104 0.337817 0.614190 
0.044679 0.293115 0.973474 0.894265 
0.422172 0.581659 0.165512 0.681148 
0.972904 0.492566 0.062270 0.452469 
0.268747 0.911296 0.581954 0.988578 
0.013887 0.886043 0.158072 0.261965 
0.311353 0.799772 0.847440 0.487715 
0.237346 0.349395 0.198666 0.095872 
0.272178 0.830547 0.225050 0.774282 
0.165869 0.064247 0.557365 0.637468 
