4 200 0.066915
0.099663 0.389387 0.798809 0.359798 
0.556882 0.350216 0.364475 0.898444 
0.336818 0.896106 0.366439 0.789039 
0.845907 0.039809 0.763627 0.132442 
0.687369 0.243947 0.372486 0.147917 
0.489249 0.640623 0.403550 0.671303 
0.671538 0.269720 0.803005 0.187046 
0.900398 0.115442 0.028097 0.171837 
0.000261 0.570336 0.512801 0.025301 
0.982466 0.309183 0.419349 0.373259 
0.453908 0.012340 0.003526 0.067586 
0.117773 0.635371 0.541061 0.696061 
0.574000 0.016359 0.184745 0.478605 
0.218097 0.245149 0.734853 0.978129 
0.388457 0.587993 0.837618 0.226859 
0.959017 0.902523 0.701368 0.223807 
0.951159 0.727331 0.263544 0.876100 
0.188061 0.382785 0.670347 0.682881 
0.751272 0.199375 0.843746 0.932702 
0.392168 0.397773 0.963695 0.088261 
0.086916 0.283441 0.286065 0.611843 
0.636832 0.462959 0.030447 0.945598 
0.326361 0.183051 0.580695 0.863711 
0.827360 0.922088 0.959071 0.626178 
0.629347 0.371762 0.144536 0.073956 
0.122869 0.347850 0.232888 0.008117 
0.876189 0.333873 0.579398 0.708925 
0.366446 0.526725 0.007008 0.375666 
0.494031 0.961705 0.564213 0.215718 
0.634235 0.848868 0.655244 0.448069 
0.843987 0.779210 0.900585 0.298717 
0.784794 0.713161 0.079948 0.967037 
0.919879 0.021375 0.493427 0.343913 
0.071291 0.578348 0.646603 0.489863 
0.433426 0.433482 0.137193 0.675862 
0.170082 0.844418 0.627868 0.150165 
0.774301 0.357643 0.587839 0.055393 
0.240276 0.478250 0.617316 0.919089 
0.874746 0.958441 0.471603 0.880836 
0.016037 0.912859 0.520747 0.601609 
0.176283 0.653491 0.821932 0.404396 
0.548251 0.833075 0.087134 0.310750 
0.180179 0.807317 0.118263 0.334140 
0.411432 0.202993 0.757205 0.692453 
0.042266 0.786445 0.973578 0.780334 
0.235635 0.341649 0.917846 0.527204 
0.793469 0.492430 0.623831 0.963538 
0.603284 0.868197 0.094033 0.852251 
0.357299 0.967697 0.172982 0.405766 
0.232171 0.049782 0.062108 0.352362 
0.155363 0.325798 0.084094 0.362651 
0.459853 0.694423 0.694955 0.523789 
0.084178 0.106251 0.253243 0.113742 
0.497059 0.618022 0.998601 0.972001 
0.257415 0.297695 0.248979 0.825556 
0.027526 0.823996 0.914255 0.269850 
0.260833 0.071284 0.095423 0.812529 
0.205107 0.606201 0.340890 0.608094 
0.515009 0.027724 0.598275 0.015084 
0.940898 0.133605 0.574263 0.865839 
0.963003 0.565362 0.015496 0.167114 
0.039987 0.934938 0.134384 0.561230 
0.423061 0.818689 0.305441 0.904592 
0.552597 0.827319 0.830504 0.262056 
0.446145 0.177093 0.794010 0.023363 
0.265041 0.136788 0.951053 0.921155 
0.866854 0.217211 0.151833 0.938579 
0.615036 0.174202 0.547649 0.723162 
0.818953 0.835359 0.122725 0.634090 
0.321701 0.044133 0.387120 0.197327 
0.008622 0.665388 0.207780 0.095414 
0.535738 0.544598 0.162466 0.466286 
0.057064 0.972080 0.278406 0.778047 
0.045190 0.918821 0.751026 0.472392 
0.508202 0.065271 0.883950 0.870174 
0.283871 0.081474 0.982386 0.457887 
0.692241 0.700990 0.850774 0.544104 
0.764902 0.524710 0.888224 0.956415 
0.775931 0.314758 0.265185 0.452191 
0.147243 0.630886 0.552898 0.286562 
0.168396 0.453219 0.682793 0.077962 
0.853690 0.672316 0.969567 0.719772 
0.503350 0.123587 0.397558 0.012976 
0.584528 0.209386 0.304838 0.624254 
0.905363 0.722797 0.504938 0.998502 
0.125546 0.147314 0.893670 0.104629 
0.277706 0.907807 0.721462 0.986596 
0.416412 0.564471 0.284630 0.252498 
0.946555 0.064952 0.294399 0.843784 
0.862671 0.797355 0.669392 0.573058 
0.999241 0.289484 0.897306 0.659804 
0.821895 0.099807 0.321252 0.617172 
0.609076 0.161807 0.106200 0.887173 
0.925700 0.883702 0.411272 0.550316 
0.892989 0.556338 0.559072 0.501107 
0.911430 0.516981 0.805951 0.598469 
0.063982 0.254740 0.569587 0.324853 
0.658484 0.610596 0.165853 0.765950 
0.889755 0.188815 0.022102 0.700242 
0.936980 0.976176 0.216959 0.834112 
0.523736 0.263788 0.940536 0.140602 
0.833795 0.222349 0.993980 0.349957 
0.544969 0.415427 0.607684 0.519085 
0.470819 0.759971 0.636962 0.928400 
0.807660 0.471514 0.948929 0.054592 
0.838215 0.738744 0.422658 0.319675 
0.677138 0.719408 0.191503 0.191078 
0.353390 0.794649 0.408609 0.305940 
0.101155 0.996123 0.976541 0.580017 
0.990343 0.227452 0.147810 0.499578 
0.798489 0.936733 0.201255 0.463495 
0.076874 0.128463 0.642887 0.002110 
0.131125 0.408938 0.937805 0.135642 
0.978081 0.394158 0.855765 0.177163 
0.648419 0.877998 0.328778 0.836553 
0.723265 0.193488 0.483978 0.801633 
0.466556 0.456519 0.926245 0.440977 
0.162905 0.990607 0.358395 0.399495 
0.308138 0.742308 0.127934 0.791085 
0.587380 0.031317 0.782215 0.181769 
0.768108 0.683564 0.242220 0.556640 
0.594280 0.050830 0.449968 0.992014 
0.529437 0.422161 0.536087 0.711715 
0.332165 0.447296 0.660867 0.434503 
0.896687 0.361785 0.354926 0.031182 
0.273807 0.893158 0.909297 0.744279 
0.566813 0.315147 0.736508 0.848226 
0.463495 0.365543 0.433220 0.162787 
0.745738 0.872627 0.786187 0.094240 
0.140625 0.625100 0.297759 0.796823 
0.020476 0.094757 0.380155 0.416279 
0.813719 0.533247 0.728059 0.257911 
0.225405 0.482282 0.069131 0.772539 
0.153164 0.499410 0.071142 0.158500 
0.408190 0.734822 0.101887 0.512246 
0.108336 0.154831 0.871706 0.592846 
0.247731 0.513834 0.439090 0.105411 
0.653970 0.800767 0.878334 0.819461 
0.620908 0.927416 0.224563 0.507797 
0.318469 0.687655 0.742087 0.730010 
0.599943 0.442641 0.270517 0.246216 
0.213413 0.500175 0.175264 0.531723 
0.372530 0.059767 0.315457 0.910454 
0.700359 0.378940 0.112571 0.643325 
0.734963 0.294298 0.924659 0.639657 
0.442084 0.949756 0.045860 0.651155 
0.301910 0.864561 0.862762 0.337206 
0.223816 0.277006 0.696345 0.200524 
0.090290 0.750312 0.775789 0.649281 
0.683910 0.770702 0.429678 0.546016 
0.709258 0.812911 0.517662 0.119406 
0.114604 0.435316 0.393957 0.392560 
0.802601 0.301890 0.441210 0.944051 
0.613424 0.604195 0.476668 0.045970 
0.699274 0.554353 0.346653 0.427945 
0.578315 0.489183 0.455688 0.805590 
0.531272 0.536569 0.531578 0.325882 
0.921636 0.469288 0.188239 0.751220 
0.661663 0.078980 0.040377 0.209029 
