4 400 0.039938
0.329142 0.583331 0.155852 0.233366 
0.364397 0.081919 0.627162 0.657309 
0.002273 0.376078 0.836471 0.429184 
0.724194 0.904129 0.585791 0.925763 
0.102339 0.714925 0.377964 0.310038 
0.361828 0.345753 0.849049 0.923348 
0.573858 0.940342 0.354533 0.551768 
0.120416 0.379669 0.746601 0.733226 
0.173918 0.661138 0.415281 0.555210 
0.279656 0.589210 0.825914 0.094795 
0.672488 0.761593 0.780105 0.239579 
0.464190 0.139729 0.750320 0.443129 
0.968547 0.534884 0.843916 0.859560 
0.716481 0.003832 0.731383 0.843158 
0.587684 0.124546 0.340832 0.813492 
0.839124 0.291470 0.611153 0.377093 
0.769682 0.666270 0.510589 0.785793 
0.869651 0.294791 0.673179 0.063259 
0.183125 0.909444 0.998655 0.100456 
0.404390 0.698059 0.170032 0.494600 
0.794087 0.322638 0.786575 0.503276 
0.952420 0.439604 0.461675 0.730972 
0.269351 0.863761 0.285103 0.823966 
0.818677 0.751144 0.107035 0.448633 
0.081598 0.887310 0.031533 0.474137 
0.684871 0.477973 0.660628 0.292924 
0.784896 0.055464 0.401371 0.901219 
0.748275 0.278876 0.384868 0.630726 
0.389350 0.403573 0.632957 0.578067 
0.494004 0.452784 0.823201 0.773675 
0.037361 0.804390 0.854806 0.624948 
0.070419 0.822102 0.726902 0.805468 
0.696852 0.023147 0.631177 0.581840 
0.274034 0.262644 0.220651 0.967535 
0.399168 0.700911 0.425169 0.757032 
0.432510 0.797253 0.200515 0.086869 
0.855492 0.649625 0.249539 0.675143 
0.649212 0.561311 0.058018 0.694133 
0.319642 0.331487 0.150305 0.367457 
0.342758 0.253492 0.705899 0.770810 
0.141507 0.779747 0.243131 0.188216 
0.039365 0.285834 0.643172 0.176560 
0.033762 0.871369 0.814779 0.374794 
0.830657 0.968835 0.664285 0.757810 
0.776042 0.676098 0.290002 0.191031 
0.407551 0.911849 0.899827 0.426498 
0.245333 0.545171 0.568780 0.392024 
0.884370 0.860584 0.266472 0.620836 
0.523515 0.339687 0.215658 0.634248 
0.738299 0.498513 0.424180 0.737312 
0.476324 0.780364 0.917981 0.644934 
0.927139 0.143380 0.770216 0.638727 
0.980423 0.364105 0.091319 0.141372 
0.813165 0.596608 0.817558 0.863379 
0.646174 0.083066 0.891289 0.915569 
0.020327 0.785345 0.147411 0.301658 
0.604539 0.623522 0.476545 0.572928 
0.745737 0.126380 0.546853 0.275470 
0.898215 0.228826 0.955750 0.973066 
0.348778 0.527390 0.242327 0.673884 
0.134388 0.295833 0.112767 0.271789 
0.288479 0.009317 0.575445 0.466871 
0.756332 0.213806 0.749321 0.937966 
0.932062 0.643791 0.550609 0.723134 
0.677884 0.875369 0.388614 0.760004 
0.440113 0.336222 0.827614 0.512331 
0.405605 0.344064 0.009505 0.840416 
0.702925 0.305483 0.311630 0.285765 
0.459374 0.905311 0.355518 0.738071 
0.266763 0.119025 0.021374 0.210717 
0.297584 0.069594 0.144975 0.897030 
0.534401 0.693286 0.193668 0.645755 
0.699641 0.509402 0.727950 0.904487 
0.016307 0.414801 0.507577 0.980725 
0.651564 0.415310 0.926003 0.906009 
0.665647 0.942969 0.126311 0.325086 
0.457245 0.538329 0.089608 0.799196 
0.559318 0.548763 0.302295 0.291486 
0.115282 0.928174 0.615671 0.340285 
0.705808 0.999070 0.137974 0.001598 
0.400500 0.393070 0.124735 0.146042 
0.111325 0.371980 0.590931 0.357559 
0.094000 0.688496 0.333454 0.019358 
0.934474 0.674826 0.696427 0.334382 
0.687180 0.873028 0.192100 0.666039 
0.987247 0.467823 0.600434 0.081764 
0.132159 0.566414 0.288768 0.707806 
0.088693 0.137301 0.784509 0.279686 
0.984010 0.882614 0.047086 0.095805 
0.656812 0.834515 0.879750 0.514916 
0.795220 0.857446 0.006301 0.209163 
0.217723 0.252188 0.001502 0.764831 
0.068641 0.195689 0.832109 0.452138 
0.277254 0.044701 0.870594 0.766440 
0.555932 0.116221 0.760513 0.242260 
0.701039 0.645148 0.907266 0.055824 
0.178816 0.459784 0.036315 0.826394 
0.734710 0.462845 0.261500 0.585362 
0.541709 0.134658 0.130162 0.955517 
0.397267 0.046245 0.246508 0.103660 
0.560402 0.389435 0.500517 0.743399 
0.911602 0.181601 0.256051 0.835088 
0.970901 0.868800 0.324462 0.424170 
0.447698 0.108366 0.799335 0.869918 
0.213429 0.853274 0.766002 0.134408 
0.826985 0.340301 0.075596 0.860560 
0.711087 0.558126 0.936692 0.707139 
0.311526 0.838374 0.251067 0.606822 
0.888086 0.729446 0.352248 0.817231 
0.223304 0.271933 0.003651 0.985556 
0.876366 0.633355 0.029113 0.612013 
0.467607 0.246008 0.929480 0.685916 
0.751701 0.792943 0.802022 0.642427 
0.779474 0.359307 0.294973 0.847438 
0.367995 0.817004 0.182676 0.299565 
0.511289 0.893612 0.733849 0.563502 
0.195565 0.152463 0.102320 0.400367 
0.095172 0.148062 0.231975 0.700581 
0.754165 0.897930 0.339396 0.034963 
0.228926 0.400436 0.930126 0.740372 
0.065300 0.488030 0.889039 0.248447 
0.906009 0.032871 0.790351 0.027048 
0.027099 0.492895 0.443208 0.316239 
0.580152 0.441125 0.846792 0.231364 
0.237945 0.731606 0.755737 0.547416 
0.385514 0.434661 0.309665 0.267127 
0.454603 0.266909 0.236621 0.838238 
0.420705 0.360765 0.013231 0.613162 
